image_path,text,prompt,source
./data/real\real_fallback_0000.png,RESTROOM,A sign with the text 'RESTROOM',realistic_synthetic
./data/real\real_fallback_0001.png,NO SMOKING,A sign with the text 'NO SMOKING',realistic_synthetic
./data/real\real_fallback_0002.png,OPEN,A sign with the text 'OPEN',realistic_synthetic
./data/real\real_fallback_0003.png,WELCOME,A sign with the text 'WELCOME',realistic_synthetic
./data/real\real_fallback_0004.png,WARNING,A sign with the text 'WARNING',realistic_synthetic
./data/real\real_fallback_0005.png,HELLO,A sign with the text 'HELLO',realistic_synthetic
./data/real\real_fallback_0006.png,HELP,A sign with the text 'HELP',realistic_synthetic
./data/real\real_fallback_0007.png,PARKING,A sign with the text 'PARKING',realistic_synthetic
./data/real\real_fallback_0008.png,CAUTION,A sign with the text 'CAUTION',realistic_synthetic
./data/real\real_fallback_0009.png,FREE,A sign with the text 'FREE',realistic_synthetic
./data/real\real_fallback_0010.png,PARK,A sign with the text 'PARK',realistic_synthetic
./data/real\real_fallback_0011.png,PARKING,A sign with the text 'PARKING',realistic_synthetic
./data/real\real_fallback_0012.png,FREE,A sign with the text 'FREE',realistic_synthetic
./data/real\real_fallback_0013.png,GARAGE,A sign with the text 'GARAGE',realistic_synthetic
./data/real\real_fallback_0014.png,GARAGE,A sign with the text 'GARAGE',realistic_synthetic
./data/real\real_fallback_0015.png,SHOP,A sign with the text 'SHOP',realistic_synthetic
./data/real\real_fallback_0016.png,COFFEE,A sign with the text 'COFFEE',realistic_synthetic
./data/real\real_fallback_0017.png,BANK,A sign with the text 'BANK',realistic_synthetic
./data/real\real_fallback_0018.png,MARKET,A sign with the text 'MARKET',realistic_synthetic
./data/real\real_fallback_0019.png,ELEVATOR,A sign with the text 'ELEVATOR',realistic_synthetic
./data/real\real_fallback_0020.png,MUSEUM,A sign with the text 'MUSEUM',realistic_synthetic
./data/real\real_fallback_0021.png,HELP,A sign with the text 'HELP',realistic_synthetic
./data/real\real_fallback_0022.png,BANK,A sign with the text 'BANK',realistic_synthetic
./data/real\real_fallback_0023.png,CHURCH,A sign with the text 'CHURCH',realistic_synthetic
./data/real\real_fallback_0024.png,SHOP,A sign with the text 'SHOP',realistic_synthetic
./data/real\real_fallback_0025.png,ROOM 101,A sign with the text 'ROOM 101',realistic_synthetic
./data/real\real_fallback_0026.png,LOVE,A sign with the text 'LOVE',realistic_synthetic
./data/real\real_fallback_0027.png,FIRE EXIT,A sign with the text 'FIRE EXIT',realistic_synthetic
./data/real\real_fallback_0028.png,BAKERY,A sign with the text 'BAKERY',realistic_synthetic
./data/real\real_fallback_0029.png,FREE,A sign with the text 'FREE',realistic_synthetic
./data/synthetic\synth_0000.png,WIFI,A sign with the text 'WIFI',synthetic
./data/synthetic\synth_0001.png,SHOP,A sign with the text 'SHOP',synthetic
./data/synthetic\synth_0002.png,ELEVATOR,A sign with the text 'ELEVATOR',synthetic
./data/synthetic\synth_0003.png,KEEP OFF,A sign with the text 'KEEP OFF',synthetic
./data/synthetic\synth_0004.png,SHOP,A sign with the text 'SHOP',synthetic
